weblink,date,status,type_description
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/04/2009,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/30/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/30/2009,PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/30/2009,PARTIAL PASSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/29/2009,PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/26/2009,PARTIAL PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/23/2009,PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/2009,PASSED,BOILER PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/2009,PASSED,BOILER PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/2009,PASSED,BOILER PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/2009,PASSED,BOILER PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/21/2009,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,01/15/2009,PASSED,DOB VENT/FURNACE INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/25/2008,PASSED,PUMP ACCEPTANCE TEST
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/25/2008,PASSED,PUMP ACCEPTANCE TEST
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/22/2008,FAILED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/29/2008,PARTIAL PASSED,PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/11/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/08/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/02/2008,PASSED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/14/2008,PASSED,VENT ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/09/2008,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/04/2008,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/27/2008,PARTIAL PASSED,PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/15/2007,PARTIAL PASSED,PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/13/2007,PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/21/2007,PASSED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/25/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/16/2007,PARTIAL PASSED,PERMIT INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/10/2007,PARTIAL PASSED,DOB PLUMBING INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/20/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/06/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/06/2007,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/08/2007,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/13/2007,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/13/2007,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/07/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/05/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/21/2006,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/21/2006,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/13/2006,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/25/2006,PASSED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/20/2006,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/01/2006,PASSED,VENT ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/10/2006,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/14/2005,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/29/2005,PASSED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/25/2005,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/17/2005,PASSED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/21/2005,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/08/2004,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/08/2004,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/07/2004,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,02/20/2004,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/07/2003,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/25/2003,PASSED,ANNUAL INSPECTION
